;Texto;Classificação
165;NORDESTE, OBRIGADO! OBRIGADO E OBRIGADO! Ao restante do País que votou no Lula, agora é hora de transformar esses votos brancos, nulos, abstenções e em outros candidatos no Lula!;Positivo
166;você que votou no bolsonaro: espero que tenha hemorróidas;Negativo
167;Gente, temos que nos engajar mais na campanha do Lula, ir pras ruas! Esse mês vai ser guerra, mas vamos ganhar!!;Positivo
168;Lulinha vai sofrer com essa porrada de senador e governador do bozo sério quer apostar quanto q os projetos dele vão ser tudo recusado pra depois eles usarem o argumento que o Lula n fez nada? olha sinceramente galera kkkk n entenderam q tem q votar com o cérebro não com o cu;Positivo
169;nossa eu tô com muito ódio, TODO MUNDO sabia que essa eleição era Lula × Bolsonaro !!!! aí vem esses filhos da puta e jogam o voto fora. meu deus que ódio desse país, que ódio desse povo sem noção, VOCÊS TAVAM DORMINDO DURANTE A PANDEMIA CARALHO??????;Negativo
170;Me sentindo que acreditei em papai Noel por acreditar que Lula ia ganhar em primeiro turno com um país de ASNOOOOS!;Negativo
171;Como eu falei, saindo uma enxurrada de pesquisas. Quaest em SP, Loola já foi. O Padre Kelmon exorcizará o PT de SP... QUAEST: PRESIDENCIAL em SÃO PAULO, de 30/09 a 01/10 - 1º TURNO (VÁLIDOS)  Bolsonaro (PL): 44%  Lula (PT): 41%  Tebet (MDB): 7%  Ciro (PDT): 6%;Positivo
172;Já pensou que se vc morar em Rio de Pedras, e falar que é Lula, vc morre?. A milicia não aceita.;Negativo
173;Como eu falei, saindo uma enxurrada de pesquisas. Quaest em SP, Loola já foi. O Padre Kelmon exorcizará o PT de SP... QUAEST: PRESIDENCIAL em SÃO PAULO, de 30/09 a 01/10 - 1º TURNO (VÁLIDOS)  Bolsonaro (PL): 44%  Lula (PT): 41%  Tebet (MDB): 7%  Ciro (PDT): 6%;Positivo
174;Já pensou que se vc morar em Rio de Pedras, e falar que é Lula, vc morre?. A milicia não aceita.;Negativo
175;A ansiedade é tanta, que passei por uma casa e vi o número 22, quase apertei a campainha pra confirmar. É BOLSONARO NO PRIMEIRO TURNO! 22;Negativo
176;Ao que tudo indica, o GSI de Bolsonaro pediu a troca da posição dele no palco do #DebateNaBand. Seria medo de ficar ao lado de Lula? A covardia não é algo novo para ele, não seria de surpreender.;Positivo
177;antes de votar no bolsonaro, pare e pense se a taylor swift votaria no bolsonaro caso ela fosse brasileira, e a resposta é não, então não vote no bolsonaro;Negativo
178;Pc siqueira e caetano veloso apoiando o lula eh isto todos amantes de 13 a piada já vem pronta;Positivo
179;Por favor CARIOCAS, VOTEM NO MARCELO FREIXO, não podemos ter um Cláudio Castro que será mais um Governador a ser preso. Nosso RJ está muito sofrido. Quem vota em Lula no Rio, vote em FREIXO.;Negativo
180;"O tuiteiro vaidoso è tipo    ""Não pq EU vou votar no lula mas EU vou cobrar mto o governo lula pq EU sou mto especial e não importa que já no primeiro dia de governo vai ter direita imprensa e judiciário correndo pra derrubar pq EU vou fazer mtas criticas ao lula e""";Negativo
181;Já imaginaram se o @jairbolsonaro perdesse a paciência como o Lula ontem ???;Positivo
182;Todos os artistas fazendo propaganda pro Lula, mó galera....aí vem o Neymar, só ele e já coloca no Bolso. Bomba atômica. Ney nunca decepciona. É sobre isso.;Negativo
183;UMA MEIA DÚZIA DA ARTISTAS MORTADELAS QUE ACHAM QUE INFLUENCIAM EM ALGO SE REUNIRAM E FICARAM FAZENDO L DE L4DRÃO IMPLORANDO VOT0 PRO DESCONDENADO, AÍ VEM O NEYMAR COM 20 SEGUNDOS, APOIA BOLSONARO 22 EM VÍDEO, DESTRÓI A LACRAÇÃO E DEIXA A MILlTÂNCIA EM SHOKK  GRANDE DIA;Negativo
184;A torcida do Fluminense está empenhada em eleger Luís Inácio Lula da Silva no 1º turno. Chegou a hora de fazer o L nas urnas também, não só na arquibancada. Todos os tricolores de verdade - mas só os de verdade mesmo - votarão 13 no domingo.;Positivo
185;"até carlinhos maia declarando voto no lula e o casimiro não ""ah mas ele chamou o bolsonaro de merda em 1975"" foda-se meu irmão não tem mais espaço pra isso não ou é ou não é";Negativo
186;O carniça na propaganda eleitoral mentindo de novo sobre sua inocência e acusando Bolsonaro de ser ladrão! Mas só ele pode propagar fake news? É ladrão sim e nada vai tirar essa sua fama, ladrão vigarista!;Neutro
187;Me dá um embrulho assistir campanha eleitoral na tv. . O apelo pra acessar o povo, a ideia de simplicidade…de repente todas as pessoas pretas apagadas no cotidiano aparecem como símbolo nacional. Não é o caso de Lula obviamente. . As lgbts inexistem. Em todos os casos.;Positivo
188;meu passatempo preferido eh dar uma buzinada FODIDA em quem ta com bandeira e adesivo do lula no carro A PESSOA FICA PUTA ai do nada eu a surpreendo y faço o L!!!!!!!!!!! A PESSOA SEMPRE FAZ DE VOLTA EU FICO EMOCIONADA DMS eu já chorei por isso eu tô mto esperançosa………….;Negativo
189;Os militantes cancelando o Neymar só porque ele não apoia o Lula, esse povo é dodói demais  kkkkkkkkkkkkkkk;Negativo
190;"A classe artística em peso declarando seu voto no Lula! Mesmo q muitos ñ sejam petistas ou simpatizantes ao partido. O fazem pq sabem q essa disputa é democracia vs fascismo. Os poucos ""artistas"" q apoiam o Bozó tem inveja do talento desses outros artistas ou levam vantagem!";Positivo
191;ALELUIA: Bolsonaro Vence em São Paulo, Rio de Janeiro, Minas Gerais e Espírito Santo, sendo q em dois destes com mais de 60% das Intenções de Votos. Região Sudeste nunca nos decepciona! Vamos aumentar esses números, Exercito de Bolsonaro Avante!;Positivo
192;Bolsonaro Vence no Paraná, Santa Catarina e Rio Grande do Sul  com índices expressivos e robustos Rumo à Reeleição! O Impressionante é a multiplicação de votos em relação a 2018. Região SUL demonstra total Repúdio a Candidatura do Nine. Vamos aumentar isso, Exercito de Bolsonaro!;Positivo
193;As manifestações de ex-ministros do STF declarando voto útil no Lula é a expressão máxima do deboche, da desumanidade e do desprezo das elites pelo povo. Se realmente estão preocupados com a democracia deveriam estar liderando o voto contra os dois candidatos que a ameaçam.;Positivo
194;"Mas não é um absurdo ouvir a Eliane na GloboNews falar que o Lula pode se desestabilizar emocionalmente no debate, após receber provocações? Será que ""equilibrado"" para ela é o Bolsonaro? Aquele que explode em ódio e covardia, depois de ouvir qualquer pergunta sobre a familícia?";Negativo
195;odeia o lula porque é feia se fosse gostosa votava com a gente;Positivo
196;MORAES INCLUI PARTIDO DE BOLSONARO NO INQUÉRITO DAS FAKE NEWS O presidente do T5E,Alexandre de Moraes,vai incluir o PL no inquérito das fake news do STF, porque o partido divulgou o resultado de uma auditoria que mostra as vulnerabilidades do sistema eleitoral. Não tem limites?;Positivo
197;Se Bolsonaro inventou mesmo o PIX, pq ele gosta tanto de usar dinheiro vivo?;Neutro
198;O papel da mídia nesta semana é quebrar mentalmente o eleitor de Bolsonaro com o “já perdeu”, para que ele perca a vontade de lutar e de converter indecisos nessa reta final. Os ansiosos são o público alvo. Ao mesmo tempo, animar petista com o clima “já ganhou”. Puro trash talk.;Positivo
199;DITADURA CONTRATADA J.R. Guzzo 23/09/2022 Lula usa os tribunais superiores como o seu escritório de advocacia, para mantê-lo do lado de fora da cadeia, ou como seu Congresso particular. O;Positivo
200;'Vai dar canetada e me prender?', diz Bolsonaro após decisão de Moraes XANDÃO, EU AUTORIZO;Negativo
201;O nordestino que sentiu na pele o que era a pobreza a miséria e a dificuldade sabe o que o governo do pernambucano Luiz Inácio Lula da Silva mudou as nossas vidas, o governo lula mudou a história de muita gente e eu vivi esse governo e sei do que estou falando, domingo é 13;Negativo
202;Lula botou o Felipe Neto na campanha de TV dele, vai cair uns 15 pontos kkkkkkk;Neutro
203;Lula vai ao STF contra cobrança de R$ 18 milhões em impostos. 3,2,1 tá perdoado.;Positivo
204;Anotem aí, o Molusco não terá nem 30% dos votos válidos domingo. É Bolsonaro no primeiro turno.;Negativo
205;Bolsonaro é bandido, nem por isso devo votar no Lula. Lula é um corrupto, nem por isso devo votar no Bolsonaro. Me recuso a sucumbir a essa bilateralidade estúpida de quem roubou quanto. Bandido eu processo!;Negativo
206;Se o problema é o homem, o homem vai resolver! Fé no homem e o homem é Luiz Inácio Lula da Silva! Faz o L! É LULA 52%! É 13! É LULA no PRIMEIRO TURNO #LulaNo1ºTurno Super Live Brasil Da Esperança! Agora é LULA! #BrasilDaEsperanca;Neutro
207;Agora é pra valer, DEPOIS dessa LIVE maravilhosa do LULA, quem me seguir, SIGO de imediato! Esquerda segue esquerda...bora torá 300 seguidores!;Negativo
208;deus leva o bolsonaro e devolve o mc kevin pfv;Neutro
209;A fala do Porchat pedindo socorro ao Lula pra salvar o  Rio me tocou. Veio do fundo da alma e eu amo o Rio. Parte da minha família mora lá e sempre fui uma frequentadora apaixonada.;Neutro
210;O pior para o Ciro não vai ser o resultado pífio nas eleições do próximo domingo, isso aconteceu também com a Marina, mas a ex-ministra não perdeu a classe, deu a volta por cima e fará parte do governo Lula. O pior para o Ciro é a impressão de que ele se aproxima do bolsonarismo.;Negativo
211;A imprensa brasileira acabou, é uma vergonha completa. O que fizeram hj com o MBl, o que fizeram nos últimos dias pelo Lula e contra o Ciro, é uma vergonha completa. É um momento distópico.;Negativo
212;Rihanna e Lula voltando;Positivo
213;Domingão semana que vem ao vivo com Luciano Huck chamando o plantão da Globo e Wiliam Bonner anunciando Lula eleito em 1° turno;Positivo
214;Pq o PT tá como tanto medo do Ciro se Lula já ganhou no primeiro turno  vou de Ciro;Positivo
215;SOU PROFESSORA. NÃO SOU PETISTA/LULISTA.  Na Educação Pública, os Professores e Professoras, maioria, são petistas e lulistas. Eu não!  Choca-me passarem o pano para a corrupção do PT/Lula para tirarem o Bolsonaro. Tirar Bolsonaro do poder pensando no Brasil é votar no Ciro!;Negativo
216;E o vencedor do debate foi Lula. Fez muito bem em se ausentar desse debate medíocre. Que debate ruim. Sem propostas, sem ideias, sem conteúdo relevante. Cada dia que passa, minha convicção em votar 13 aumenta. Vamos juntos liquidar essa eleição no 1º turno. O Brasil agradece!;Negativo
217;Minha opinião sobre o debate: Primeiro, Ciro foi MUITO bem nesse debate, Simone ficou muito ofuscada, Bolsonaro além das mentiras de sempre, girou seu discurso em PT e Auxílio, ele sabe que ñ tem nada pra mostrar. Agora Soraya e esse padre? Gente que vergonha e desastre (+);Neutro
218;Em certo momento do debate Ciro se virou pra Bolsonaro e disparou uma série de acusações de corrupção, até dos imóveis comprados em espécie, só foi interrompido pelo tempo. Mas pra luletes e pra grande mídia petista, Ciro pegou leve com Bolsonaro. E Lula, onde estava?;Neutro
219;E o vencedor do debate foi Lula. Fez muito bem em se ausentar desse debate medíocre. Que debate ruim. Sem propostas, sem ideias, sem conteúdo relevante. Cada dia que passa, minha convicção em votar 13 aumenta. Vamos juntos liquidar essa eleição no 1º turno. O Brasil agradece!;Negativo
220;Minha opinião sobre o debate: Primeiro, Ciro foi MUITO bem nesse debate, Simone ficou muito ofuscada, Bolsonaro além das mentiras de sempre, girou seu discurso em PT e Auxílio, ele sabe que ñ tem nada pra mostrar. Agora Soraya e esse padre? Gente que vergonha e desastre (+);Neutro
221;Prefiro Lula!;Positivo
222;Foi só eu dizer que sou professora e voto no Bolsonaro, que em dois dias ganhei mais de 6 mil seguidores. Depois querem que você acredite que Bolsonaro perdeu o apoio!!! Aqui é 22;Negativo
223;Reinaldo Azevedo faz campanha abertamente para Lula assim como fez para Aécio, ou seja, ser cabo eleitoral de ladrões é com ele mesmo.;Neutro
224;O que o Ciro está fazendo com a @jairmearrependi é muita canalhice. Acho que nem o bolsonaro chegou nesse ponto. Por mim, o Ciro pode sumir depois das eleições que será um bem para o Brasil. Paris te espera! #freejairme;Negativo
225;É por essas e outras que eu PREFIRO LULA;Negativo
226;Lula foi no ratinho pra fazer DNA e deu positivo! Lula é o pai do Brasil;Positivo
227;Não assisti a entrevista do Lula no Ratinho pelo fato de ter asco da pessoa do Ratinho,mas pelos comentários aqui , parece que a entrevista foi excelente;Neutro
228;IPEC + DATAFOLHA + entrevista no ratinho = Lula no 1° turno;Positivo
229;Até o Ratinho já tá chamando Lulinha de PRESIDENTE LULA NO PRIMEIRO TURNO;Positivo
230;"O ibope de Lula no Ratinho; Bolsonaro se saiu melhor";Positivo
231;VOCÊ QUE VAI VOTAR NO (PT), SAIBA QUE ESTÁ VOTANDO NO ALCKMIN TAMBÉM - não precisa votar no Bolsonaro para ser contra o Lula (EU VOU DE CIRO);Negativo
232;ideia de date: casar comigo se o lula ganhar de primeiro turno;Positivo
233;Lula terá em 2022, menos votos que o poste Haddad teve em 2018.....;Negativo
234;Na escola em que sou professora tem 30 colegas petistas e três bolsonaristas, contando comigo. Quando começam falar mal do Bolsonaro eu replico apontando os crimes do barbudo. Não Fico quieta, apesar da desvantagem numérica. Aqui é Bolsonaro!;Neutro
235;Não podemos deixar que o @cirogomes seja chantageado, nem por corruptos e nem por fascistas. É preciso recrudescer a campanha, pois Bolsonaro parece que está abrindo o bico, e o Ciro Gomes tem condições de ficar com a vaga.;Negativo
236;A gritaria do voto útil/inútil. Neste primeiro turno se o eleitor não quer Bolsonaro é acusado de comunista, amigo de ladrão, etc. Se por outro lado não quer votar  PT é acusado de fascista, amigo de genocida, etc. Liberdade para o eleitor! Eu voto SimonePresidente15.;Negativo
237;Galera pra não dar confusão domingo que for votar no Lula vai as 13 horas e quem for votar no Bolsonaro vai as 22 ok;Negativo
238;É Ciro contra o sistema e Lula e Bolsonaro com os bancos.;Positivo
239;Lula acaba de perder, em segunda instância, no TRF3, a Condenação da Receita Federal de Sonegação de 18 milhões de Imposto de Renda. Ai vc se pergunta, se ele deve 18 milhões de impostos, como ele pode ter declarado apenas 7 milhões de Patrimônio no TSE?  KD o MP?;Positivo
240;Na última eleição Lula estava preso se apresentando como candidato de dentro da CADEIA e ninguém escreveu cartinha pra ele desistir em favor do #CiroGomes estranho né?? É CIRO CONTRA O SISTEMA;Neutro
241;Nas próximas duas semanas ninguém mais vai querer estar próximo do Bolsonaro. Todo o seu apoio político começou a desabar hoje. Só falta o centrão abandonar o cargo.;Positivo
242;Sou médico. Hj coloquei meu jaleco branco e foi panfletar a favor do Lula dizendo que trabalhei na tragédia da Covid e tanto de morte e sofrimento que vi.Fui nos pontos de ônibus em Divinópolis e conversei com os mais humildes. Sozinho não é fácil mas valeu.;Neutro
243;Bolsonaro pode perdoar R$ 16 bilhões em multas ambientais. Entendeu porque no Mato Grosso Bolsonaro lidera as pesquisas e o agronegócio tá fechado com ele?;Neutro
244;Vou de Lula, Haddad, França e Boulos. Falta só o voto pra deputado estadual de São Paulo.;Positivo
245;Quantos votos o presidente Bolsonaro tem na sua casa???;Neutro
246;Lula só tem a ganhar não indo ao debate no SBT. É uma armadilha que deve ser evitada.;Negativo
247;O nosso futuro será escrito em verde amarelo e com Bolsonaro eleito no primeiro turno. É 22 Brasil;Positivo
248;Fui chamada na escola hj pq minha filha brigou com uma coleguinha e apelidou ela de “cria do Bolsonaro”;Positivo
249;Saiu IPEC:  Lula                  47% Assombração  31% Inveja                  7 % Invasão de terra indígena  5 %;Positivo
250;Lula 47% Bolsa sobe e dolar cai. O Mercado já deve estar enviando os seus emissários para conversas com o futuro presidente Lula.;Positivo
251;A cena mais esperada do meu ano é a de Bolsonaro entregando a faixa presidencial pra Lula;Positivo
252;IPEC: Lula 47% tchutchuca 31% Ciro 7 %;Positivo
253;Bolsonaro foi num posto de gasolina no Reino Unido para mostrar que lá o litro da gasolina custa R$ 9 reais. Mas não falou que o salário mínimo lá é cerca de R$ 9 mil reais.;Neutro
254;Curiosidade: Hoje Lula e Axl Rose acordaram no mesmo prédio aqui em Florianópolis;Positivo
255;Bolsonaro virou Pop Star na terra dos Beatles, Rolling Stones, e Elton John. Só deu… Mito, Mito, Mito no meia da multidão.;Neutro
256;"""Consternação, indignação e até vergonha. Essas foram algumas das palavras usadas por diplomatas estrangeiros ao descrever o comportamento de Jair Bolsonaro em sua passagem por Londres para o funeral da rainha Elizabeth 2ª"" Jamil Chade Bolsonaro World Shame";Negativo
257;Pavor da Michelle Bolsonaro Tem uma ambição ali q me assusta;Neutro
258;Vocês já viram algum vídeo de Bolsonaro partindo pra cima de algum homem? Só de mulher, né?;Positivo
259;As mulheres agredidas pelos companheiros já estão sabendo que Bolsonaro cortou 90% da verba do Programa de combate a violência contra as mulheres?;Neutro
260;A propaganda eleitoral que o Presidente Bolsonaro lançou é impressionante. Ele conseguiu destroçar o Lula na Globo com os próprios jornalistas militantes da Globo. É simplesmente uma aula de guerra política.;Neutro
261;Galera tenho 3 meses de tuiter e ainda sou leigo, não tenho nem 300 seguidores e gostaria de interagir com a galera da esquerda,quem puder me dá uma força ficarei grato sigo todos de volta. Aqui é Lula.;Negativo
262;Se nós acreditássemos em pesquisas a Dilma seria eleita Senadora por Minas Gerais, Suplicy seria Senador por São Paulo e Bolsonaro perderia para todos os candidatos no 2° turno.;Positivo
263;Minha teoria é que o João Santana continua trabalhando na campanha do Lula. O Ciro só não sabe;Neutro
264;Caro brasileiro, pense bem: você quer mandar para Brasília alguém  para meter mais ou menos a mão no seu bolso? Bolsonaro fez o maior corte de impostos da história, deixando o dinheiro no seu bolso. Você vai mandar Loola para Brasília para meter a mão no seu bolso de novo?;Positivo
265;MEU PRESIDENTE É LUIZ INÁCIO LULA DA SILVA;Neutro
266;Bolsonaro pode ficar certo de que o Lulinha paz e amor vai quebrar todos os sigilos que ele fez. #LulaNoRS;Negativo
267;Com o apoio de Moro a Bostô, a vitória de Lula não poderia ser mais significativa. As duas maiores forças do fascismo que dominou o País merecem morrer juntas, afogadas. Como um só.;Positivo
268;Quando eu vejo os twitters dos jornalistas da Folha de S.Paulo e do Estadão eu penso que as redações desses jornais são puros gabinetes do ódio contra o Presidente Bolsonaro. É só desinformação, mentiras e acusações levianas;Positivo
269;DATAFOLHA - PRESIDENTE  VOTO ESPONTÂNEO  Lula 42%  Jair Bolsonaro 30%  Ciro Gomes 4%  Simone Tebet 3% Lula tem 53,16% no único dado importante para o cenário presidencial! E são dados oficiais que acabaram de sair no site de Folha de SP!!;Positivo
270;Cade a esquerda mineira que da 45% pra Lula e 25 % pra kalil. Galera, sou cruzeirense doente, odiava o kalil. Mas morei 32 anos em BH e vi o trabalho do kalil. Bora virar esse jogo. Zema é bolsonaro. Vamos deixar isso em Minas?;Negativo
271;Lula no primeiro turno Lula no primeiro turno Lula no primeiro turno;Positivo
272; SEM CENSURA A suspensão do site e redes sociais do “Mulheres com Bolsonaro?” – plataforma que reúne postagens que criticam a interlocução (muitas vezes feita sob aspectos machistas) de Bolsonaro com as mulheres – foi negada pelo TSE.;Positivo
273;Cai na real: o problema não é o quiz e sim o candidato de vcs que não assume compromissos com a base. É duro ter que ensinar a história do Lula aos Lulistas mas o PSOL sequer existiria se Lula cumprisse suas promessas. Vocês entendem onde quero chegar? Um partido SAIU do PT+;Negativo
274;Lula da Silva não foi inocentado e nem absolvido, apenas foi DESCONDENADO.;Neutro
275;O que resta a Bolsonaro é o que mostrou a propaganda dele, esta noite, na tv: insistir com a acusação de que Lula é ladrão, não importa que o Supremo tenha anulado suas condenações. Não importa que o Supremo tenha declarado que Sérgio Moro foi um juiz parcial.;Negativo
276;"Nem Lula, nem Bolsonaro, só isso que digo sobre essa eleição, me poupem do papo do ""mal menor"", não mudarão minha opinião, tem o primeiro turno aí pra gente votar em quem a gente acredita ser a melhor opção, aproveitem.";Negativo
277;Bolsonaro cortou remédios dos pobres pra dar dinheiro pro Centrão. Fora Bolsonaro;Negativo
278;Será que a Vera Magalhães vai votar no Bolsonaro de novo ?;Positivo
279;O medo do PT é que no próximo debate o Ciro se junte com Bolsonaro pra moer Lula. A quantidade de notícias contra o coroné está fora do comum. O PT sentiu mto com a insubordinação do Cangaciro.;Positivo
280;++ Lula admite repetir loteamento político de estatais que gerou o petrolão: “Faz parte da democracia. Cada pessoa que é indicada é eleita pelo conselho dessas empresas. Você não tem como fazer a não ser assim”;Negativo
281;Mirou no Lula, acertou no Itaú e agora está pagando juros mais altos. Mirou no Ciro, acertou na taxação de grandes fortunas e na Lei Antiganancia.;Neutro
282;Bolsonaro sabe escrever?;Neutro
283;BOLSONARO ACABA DE ESCANCARAR O PLANO DO LULA! Mandou ao vivo para todo o Brasil as questões ligadas à perseguições a cristãos, legalização do aborto e implementação da ideologia de gênero! O que a Globo abafa, Bolsonaro mostra.;Positivo
284;Vocês viram a série de regras que a Globo criou pro seu debate. Foi tudo pra ajudar o Lula ?;Negativo
285;"A melhor frase de BOLSONARO na entrevista com o RATINHO: ""Eu falo palavrão, mas não sou ladrão""";Negativo
286;Ciro está falando tudo que Bolsonaro já falava do Lula. Mas só agora os esquerdistas estão começando a entender...;Positivo
287;Quer dizer q o Lula vence com folga, apenas nas pesquisas pagas pela rede globo???;Positivo
288;Lula arrasou !!!  Maravilhoso !!! LuLa presidente!!!!;Positivo
289;URGENTE! Lula acaba de comparar Bolsonaro a Hitler e a Mussolini. Tá certíssimo! É isso mesmo!;Positivo
290;O ex-presidiário Lula volta a mentir. Em entrevista à CNN ele negou que tenha falado em rever as privatizações caso ganhe as eleições. Em diversas oportunidades ele disse que iria rever a privatização da Eletrobras ameaçando os empresários que viessem a comprar a empresa.;Neutro
291;Espero que nunca mais o Lula perca o seu precioso tempo dando entrevista pra esse William Waack. É tanto ódio que a gente vê o sangue no olho do atrevido. Tudo menos jornalismo. Ainda bem que o Lula tá afiado e botando o fascista no bolso. #JornalismoNotaZERO;Negativo
292;LULA SENDO LULA NA CNN! É O ÚNICO CAPAZ DE DAR DIGNIDADE AO BRASIL NOVAMENTE! #LulaNoPrimeiroTurno;Neutro
293;Lula: “as pessoas acham que quem tá comprando arma é o coroinha. Não é. É o crime organizado” #CNNNASELEICOES;Negativo
294;Na CNN, William Waack chuta déficit orçamentário com Lula, que não ocorreu.Em 2010 o Brasil registrou  um superávit primário equivalente a 2,78% do Produto Interno Bruto (PIB),;Negativo
295;Só faltava essa: Waack propõe (sim, a pergunta foi uma proposta) que Lula anistie Bolsonaro para pacificar o Brasil.;Positivo
296;"ZOE MARTINEZ ""Globo News passa o dia inteiro falando mal do Bolsonaro e não tem um contraponto sequer. Mas, segundo o TSE, é a Jovem Pan quem descumpre regras da lei eleitoral… PERSEGUIÇÃO NA CARA DURA.""";Neutro
297;No Brasil, com exceção de Bolsonaro, TODOS os candidatos são de esquerda. A Globo e o Benchimol da XP escolheram o Lula porque quiseram, não foi falta de opção. A pergunta é: por que o Lula?;Positivo
298;21% dos eleitores de Lula podem votar em bolsonaro. E aí?;Positivo
299;Se ver uma multidão nas ruas não é apoiadores do Lula não, é a fila pra pedir desculpas ao Léo Pereira Monstruoso;Negativo
300;O cara levou um automóvel popular pra oficina. Foi recebido pela irmã do proprietário, que viu um adesivo de Lula no carro. Ela disse que não não recebia carro de petista. Ok. Uma hora depois, ela ligou, pedindo mil desculpas. O cara tem 30 carros e é o maior cliente da oficina.;Negativo
301;Apenas nessa semana: - Haddad cancelou participação em evento, depois de ser ameaçado. - Bolsonarista esfaqueou e tentou decapitar eleitor de Lula. - Boulos foi ameaçado por um homem armado. - Ciro Gomes, hoje, também ameaçado. É sério que vamos deixar ter 2° turno?;Negativo
302;Meu ódio por Bolsonaro é inexplicável;Negativo
303;Se Ciro não quer mais ser agredido ou ameaçado, faça como Boulos. Apóie e vote em Lula. Vamos reconstruir este País e acabar com o fascismo que ascendeu ao poder. Que ele pare de trabalhar para Bostô, como fez e faz durante toda a campanha.;Positivo
304;Amigos da turma boa, de coração aberto, vamos conversar? O tom de Ciro está conduzindo o cenário eleitoral de uma maneira que favorece Bolsonaro. Será que é hora de repensar o voto, método e estratégia? Estou perguntando numa boa!;Positivo
305;Pq o PT tá como tanto medo do Ciro se Lula já ganhou no primeiro turno  vou de Ciro;Positivo
306;Todo mundo aq é testemunha que sou eleitor e maior entusiasta de Ciro e seu PND neste site, mas, depois de hoje (por conta do DATAFOLHA), declaro que mudei meu voto. Meu voto é ÚTIL pra derrotar o INÚTIL, agora é Luiz Inácio Lula da Silva! É preciso união p/ derrotar o fascismo!;Negativo
307;O PIB subiu, o Lula caiu…;Positivo
308;E SEMPRE É PRECISO LEMBRAR: VAMOS COMPARTILHAR, ENGAJAR, E FAZER O QUE FOR POSSÍVEL PRA LEVAR O CONTEÚDO DO LULA E DOS ALIADOS PRA MILHÕES DE PESSOAS. A CAMPANHA PRECISA CHEGAR EM TODOS OS LUGARES. NÃO CUSTA NADA CLICAR EM CURTIR/RETUITAR/COMPARTILHAR/COMENTAR;Positivo
309;DATAFOLHA Lula 45% (=) Bolsonaro 34% (+2%) Ciro 7% (-2%) É oficial, involuntariamente ou voluntariamente, Ciro virou linha auxiliar do bolsonarismo!;Positivo
310;Ciro como linha auxiliar de Bolsonaro. Já podemos chamar de Ciroliro.;Positivo
311;DATAFOLHA Lula: 45% (-) Bolsonaro: 34% (+2) Ciro: 7% (-2) Tebet: 5% (-) Margem de erro: 2%;Positivo
312;Lula estável com 48% de votos válidos no primeiro turno diz a pesquisa DataFolha que acaba de sair! Mais 3% e vence a eleição dia 2 de outubro. 54% dos que votam em Ciro dizem que podem mudar sua escolha.;Positivo
313; Datafolha confirma: Lula tem 48% dos votos válidos e está mais próximo de vencer Bolsonaro no 1° turno. Não podemos errar! Votar na terceira via é jogar pro 2° turno. PRA CIMA, @LulaOficial!;Negativo
314;Maior barreira para Bolsonaro segue sendo a rejeição. Essa não se abala com atos como o de quarta-feira. Em 3 meses, a caixa de ferramentas inédita de que o presidente lançou mão não mexeu praticamente nesse atributo #OGlobonasEleicoes;Positivo
315;William Bonner parece aborrecido c/ o Bicentenário. É compreensível. Ele já tinha dado o novo brado retumbante (“Lula, o senhor não deve nada à Justiça”) e aí aparecem milhões de desavisados nas ruas celebrando o velho “Independência ou morte”. Será q essa gente não vê televisão?;Positivo
316;Um presidente da República tem que ter um time. E o meu time são candidatos a deputado que vão me ajudar a desfazer aquilo que Temer e Bolsonaro fizeram. E vamos recuperar o respeito ao povo trabalhador.;Negativo
317;LULA SUBIU DESESPERO AUMENTOU ,O BROXONARO ESTÁ ATÉ PROMETENDO 800 REAIS DE AUXÍLIO. NÃO CAIA NESSA MENTIRA , BROXONARO CORTOU O FARMÁCIA POPULAR PARA PAGAR O ORÇAMENTO SECRETO EM 2023 !! REPASSE ,INFORME AS PESSOAS !!;Positivo
318;Bolsonaro não vai terminar o mandato. #MarcoAntonioVilla #ForaBolsonaro #renuncia;Negativo
319;Governo Bolsonaro anuncia atraso na parcela do auxílio Brasil. Esse governo é metade descaso e metade atraso.;Neutro
320;"Bolsonaro aceitou o convite para ir na posse do Ministro Alexandre,e mesmo sabendo que seria afrontado por todos; mesmo assim ele foi..Bolsonaro convidou os Ministro par irem ao 7 de Setembro, para eles ouvirem o povo; e nenhum deles apereceu..É Ministros!!.Bolsonaro não Broxa!";Neutro
321;Pelo que estou ouvindo na mídia, estão furiosos que Bolsonaro “usou politicamente” o 7 de Setembro - algo que só o Lula podia fazer no 1° de Maio.;Positivo
322;A turma que vota em Lula da Silva não faz nenhuma pesquisa para saber sobre toda a corrupção do PT.;Neutro
323;Eu apoiei Bolsonaro em 2018 e tenho vergonha de ter feito isso! Virei oposição já em 2019. Advinha pq apoiei Bolsonaro? Pq se mostrou uma alternativa ao PT. Hoje apoio o mais preparado candidato, CIRO GOMES! #CiroPresidente;Negativo
324;PAREM IMEDIATAMENTE DE FALAR QUE O BROCHA DO BOLSONARO É BROCHA!!;Positivo
325;Certeza q bateu desespero nos bolsonaristas. Já viram como eles estão preocupados c/a repercussão da mídia? Pra quem tocou o terror nas redes onde Eduardo Bolsonaro convocou até quem tem arma e ñ acontecer nada? Só provou que Jair é um fraco Que vergonha desse Broxanaro!;Negativo
